Date,USD,EUR,JPY,CNY,RUB
2/28/1992,"329,0","263,3","41 124,1","1 890,4","148,4"
3/31/1992,"329,3","270,2","39 751,4","1 922,4","188,4"
4/30/1992,"330,1","273,1","38 614,5","1 882,6","209,0"
5/29/1992,"342,2","273,9","38 423,8","1 934,2","249,4"
6/30/1992,"367,2","294,5","40 488,1","2 112,1","317,8"
7/31/1992,"371,9","306,6","39 938,8","2 142,9","398,9"
8/31/1992,"392,2","338,1","42 233,5","2 269,6","407,6"
9/30/1992,"378,8","328,5","39 319,1","2 183,9","374,6"
10/30/1992,"355,3","295,8","37 455,7","2 053,0","352,8"
11/30/1992,"364,2","307,3","38 964,1","2 112,4","428,7"
12/31/1992,"373,8","326,4","40 294,8","2 175,7","449,5"
1/29/1993,"383,3","336,1","42 127,2","2 230,0","471,3"
2/26/1993,"386,9","343,9","43 083,3","3 308,5","509,6"
3/31/1993,"381,9","337,2","40 569,6","3 323,8","598,5"
4/30/1993,"384,1","332,5","40 405,1","3 342,9","652,5"
5/31/1993,"377,3","325,9","39 039,5","3 281,7","672,9"
6/30/1993,"381,4","322,4","39 611,0","3 304,3","713,6"
7/30/1993,"385,6","321,3","39 532,0","3 337,3","749,4"
8/31/1993,"385,5","310,8","37 965,2","3 330,5","773,8"
9/30/1993,"380,4","306,7","38 001,2","3 267,0","801,5"
10/29/1993,"391,6","312,4","38 672,6","3 343,6","905,5"
11/30/1993,"389,8","305,5","38 370,5","3 324,2","1 145,1"
12/31/1993,"384,4","305,9","37 668,1","3 273,7","1 208,6"
1/31/1994,"379,3","309,3","37 998,0","3 219,3","1 278,6"
2/28/1994,"378,6","302,5","37 728,4","3 195,3","1 454,3"
3/31/1994,"376,6","297,1","36 976,3","3 177,0","1 590,5"
4/29/1994,"382,1","290,6","34 573,1","3 220,3","1 789,3"
5/31/1994,"391,0","292,5","32 759,1","3 293,2","1 958,0"
6/30/1994,"385,2","291,4","32 803,0","3 203,6","1 955,2"
7/29/1994,"387,6","289,9","32 762,3","3 217,0","1 855,1"
8/31/1994,"386,2","285,4","33 706,9","3 206,0","1 753,8"
9/30/1994,"383,7","291,4","36 304,7","3 187,4","1 706,5"
10/31/1994,"383,1","294,3","38 445,3","3 186,5","1 707,5"
11/30/1994,"383,1","287,7","38 616,1","3 185,9","1 726,6"
12/30/1994,"385,3","288,3","39 256,6","3 203,2","1 758,8"
1/31/1995,"387,4","293,5","39 386,2","3 221,8","1 789,8"
2/28/1995,"399,5","305,1","42 193,5","3 322,8","1 887,6"
3/31/1995,"404,8","309,8","42 784,8","3 365,1","1 918,5"
4/28/1995,"396,2","304,5","41 963,9","3 300,3","1 917,8"
5/31/1995,"392,9","306,0","42 102,1","3 273,0","1 932,6"
6/30/1995,"391,9","308,9","41 703,6","3 264,2","1 957,1"
7/31/1995,"385,3","302,6","41 978,4","3 206,4","1 952,2"
8/31/1995,"383,5","296,7","41 879,5","3 188,8","1 975,8"
9/29/1995,"387,3","296,5","41 771,8","3 217,9","2 053,0"
10/31/1995,"383,2","296,8","42 083,5","3 182,0","2 064,2"
11/30/1995,"381,1","298,2","42 824,1","3 162,8","2 072,0"
12/29/1995,"377,9","292,7","42 420,1","3 136,1","2 073,6"
1/31/1996,"369,0","292,4","41 975,3","3 062,4","2 043,7"
2/29/1996,"355,1","290,0","41 848,4","2 945,9","1 992,2"
3/29/1996,"346,6","296,6","42 627,8","2 874,2","1 961,1"
4/30/1996,"351,8","305,5","43 127,2","2 918,5","2 007,2"
5/31/1996,"344,5","301,0","43 271,4","2 857,6","1 978,4"
6/28/1996,"343,8","299,2","40 844,1","2 851,4","1 979,9"
7/31/1996,"340,8","300,2","38 953,7","2 825,4","1 964,8"
8/30/1996,"324,1","295,5","37 343,3","2 687,2","1 876,4"
9/30/1996,"324,0","303,7","38 167,1","2 685,9","1 883,4"
10/31/1996,"322,8","293,8","39 003,5","2 675,3","1 889,7"
11/29/1996,"324,9","290,7","39 299,3","2 691,2","1 908,3"
12/31/1996,"306,0","269,9","38 365,7","2 534,3","1 809,4"
1/31/1997,"288,7","261,6","37 417,9","2 390,7","1 715,2"
2/28/1997,"289,1","267,9","37 424,0","2 393,4","1 741,0"
3/31/1997,"297,5","275,4","37 421,9","2 463,0","1 799,7"
4/30/1997,"295,9","276,0","38 205,4","2 450,2","1 798,1"
5/30/1997,"308,3","285,3","40 669,8","2 552,3","1 889,6"
6/30/1997,"299,1","271,0","40 358,4","2 476,2","1 839,5"
7/31/1997,"292,3","267,4","40 991,6","2 420,3","1 813,1"
8/29/1997,"292,9","268,8","41 200,8","2 424,9","1 827,9"
9/30/1997,"284,1","259,6","41 159,1","2 352,4","2 114,0"
10/31/1997,"289,0","251,0","38 849,2","2 392,5","4 530,7"
11/28/1997,"295,9","247,9","35 785,7","2 449,6","4 880,4"
12/31/1997,"294,1","252,9","35 396,7","2 434,7","5 096,4"
1/30/1998,"291,7","248,8","34 223,6","2 414,5","6 111,8"
2/27/1998,"287,1","247,6","32 530,3","2 377,0","6 611,9"
3/31/1998,"287,3","256,6","33 491,7","2 378,6","6 640,6"
4/30/1998,"286,0","262,7","34 177,2","2 367,5","6 912,5"
5/29/1998,"282,6","264,1","33 798,0","2 339,8","7 162,7"
6/30/1998,"276,4","259,8","33 748,5","2 288,5","6 833,9"
7/31/1998,"261,3","251,9","31 554,0","2 163,2","6 386,0"
8/31/1998,"256,1","247,3","30 602,1","2 119,7","6 235,4"
9/30/1998,"256,7","241,9","29 099,3","2 124,7","6 361,1"
10/30/1998,"264,7","251,9","28 313,0","2 191,4","6 758,3"
11/30/1998,"310,7","290,4","32 946,3","2 572,0","8 024,2"
12/31/1998,"293,2","284,0","30 682,5","2 427,1","7 730,0"
1/29/1999,"287,1","247,7","32 540,0","2 377,0","6 569,4"
2/26/1999,"287,3","256,5","33 532,0","2 378,6","6 626,5"
3/31/1999,"286,0","262,6","34 171,0","2 367,5","6 882,0"
4/30/1999,"282,6","264,3","33 806,8","2 339,8","7 153,7"
5/31/1999,"276,4","259,9","33 744,6","2 288,6","6 844,6"
6/30/1999,"261,3","251,7","31 534,2","2 163,2","6 382,8"
7/30/1999,"256,1","247,0","30 581,9","2 119,7","6 236,5"
8/31/1999,"256,7","241,9","29 083,2","2 124,7","6 353,9"
9/30/1999,"264,7","252,1","28 321,8","2 191,4","6 757,1"
10/29/1999,"310,7","290,4","32 931,6","2 572,0","8 024,2"
11/30/1999,"293,2","284,0","30 656,7","2 427,0","7 731,5"
12/31/1999,"283,1","279,9","29 048,7","2 343,6","7 613,9"
1/31/2000,"284,3","280,8","29 977,7","2 353,9","8 059,6"
2/29/2000,"299,9","304,7","32 826,1","2 482,3","8 622,4"
3/31/2000,"286,4","296,9","30 452,1","2 370,9","8 157,2"
4/28/2000,"279,7","295,8","29 537,3","2 315,7","8 004,5"
5/31/2000,"275,2","303,6","29 799,4","2 278,0","7 797,3"
6/30/2000,"285,7","300,8","30 332,2","2 365,1","8 072,3"
7/31/2000,"281,6","299,8","30 442,0","2 331,3","7 838,9"
8/31/2000,"274,5","303,5","29 683,2","2 272,5","7 615,9"
9/29/2000,"273,7","314,3","29 220,7","2 265,7","7 613,5"
10/31/2000,"270,0","316,5","29 271,2","2 235,2","7 529,1"
11/30/2000,"266,0","311,2","29 003,3","2 201,9","7 405,9"
12/29/2000,"271,5","304,0","30 397,9","2 246,8","7 595,5"
1/31/2001,"265,5","283,0","31 012,1","2 197,6","7 532,8"
2/28/2001,"261,9","284,4","30 438,8","2 167,5","7 495,9"
3/30/2001,"263,0","289,7","31 950,8","2 177,2","7 549,8"
4/30/2001,"260,5","291,6","32 216,5","2 156,0","7 522,9"
5/31/2001,"272,4","311,5","33 161,0","2 254,4","7 908,6"
6/29/2001,"270,2","316,8","33 076,6","2 236,7","7 874,3"
7/31/2001,"267,5","310,8","33 291,8","2 214,3","7 823,8"
8/31/2001,"272,4","302,2","33 048,7","2 254,5","7 996,3"
9/28/2001,"283,4","310,8","33 612,8","2 345,8","8 347,5"
10/31/2001,"283,1","312,4","34 358,9","2 342,9","8 369,3"
11/30/2001,"276,2","310,9","33 791,8","2 285,8","8 240,2"
12/31/2001,"275,9","308,9","35 052,8","2 283,2","8 325,2"
1/31/2002,"281,5","318,9","37 366,6","2 330,0","8 609,3"
2/28/2002,"295,5","339,3","39 466,9","2 445,7","9 120,9"
3/29/2002,"294,1","335,4","38 526,2","2 433,9","9 145,2"
4/30/2002,"302,7","341,4","39 549,1","2 505,4","9 444,3"
5/31/2002,"314,5","342,7","39 692,1","2 603,1","9 832,4"
6/28/2002,"321,2","335,3","39 571,9","2 658,4","10 096,7"
7/31/2002,"313,3","315,6","36 968,7","2 593,0","9 879,7"
8/30/2002,"310,3","317,2","36 908,1","2 567,9","9 793,2"
9/30/2002,"319,1","325,5","38 609,0","2 641,5","10 100,3"
10/31/2002,"316,6","322,6","39 222,6","2 620,1","10 042,4"
11/29/2002,"319,1","318,7","38 780,6","2 641,0","10 157,8"
12/31/2002,"331,9","326,4","40 561,8","2 747,4","10 570,9"
1/31/2003,"356,9","335,6","42 381,4","2 953,7","11 362,0"
2/28/2003,"359,0","332,9","42 855,2","2 971,3","11 368,8"
3/31/2003,"340,6","315,3","40 418,6","2 818,8","10 710,8"
4/30/2003,"328,2","302,1","39 354,5","2 716,4","10 240,1"
5/30/2003,"355,7","307,2","41 720,6","2 944,0","10 997,4"
6/30/2003,"356,4","305,2","42 164,8","2 949,6","10 861,0"
7/31/2003,"351,0","308,6","41 650,8","2 905,5","10 654,6"
8/29/2003,"359,8","322,3","42 685,3","2 977,8","10 923,3"
9/30/2003,"379,0","336,6","43 534,8","3 136,6","11 593,6"
10/31/2003,"378,9","323,8","41 494,5","3 136,2","11 413,8"
11/28/2003,"389,9","333,0","42 569,2","3 227,3","11 617,5"
12/31/2003,"407,0","331,6","43 858,3","3 368,4","11 980,7"
1/30/2004,"413,8","327,8","43 995,1","3 424,9","11 927,3"
2/27/2004,"404,9","320,2","43 183,3","3 351,2","11 541,5"
3/31/2004,"406,7","331,5","44 096,5","3 366,0","11 602,9"
4/30/2004,"403,3","336,5","43 462,2","3 337,8","11 585,1"
5/31/2004,"383,8","319,6","43 104,7","3 176,6","11 126,8"
6/30/2004,"392,4","323,1","42 935,1","3 247,6","11 391,4"
7/30/2004,"398,1","324,5","43 568,6","3 294,9","11 576,8"
8/31/2004,"400,5","328,4","44 143,0","3 314,9","11 703,8"
9/30/2004,"405,3","331,6","44 624,8","3 354,3","11 841,9"
10/29/2004,"420,5","336,5","45 749,6","3 480,0","12 215,4"
11/30/2004,"439,4","338,0","45 997,2","3 636,5","12 550,3"
12/31/2004,"442,1","330,6","45 950,2","3 658,8","12 344,5"
1/31/2005,"424,0","323,8","43 799,7","3 509,5","11 858,6"
2/28/2005,"423,4","325,1","44 434,3","3 503,9","11 835,5"
3/31/2005,"434,3","328,8","45 668,6","3 594,7","11 999,4"
4/29/2005,"429,2","331,7","46 016,8","3 552,5","11 934,1"
5/31/2005,"421,9","332,5","45 008,3","3 491,6","11 792,0"
6/30/2005,"430,7","354,3","46 838,1","3 564,3","12 282,1"
7/29/2005,"424,5","352,6","47 528,4","3 489,5","12 181,8"
8/31/2005,"437,9","356,1","48 431,8","3 548,1","12 471,7"
9/30/2005,"456,1","372,6","50 717,6","3 690,3","12 948,9"
10/31/2005,"469,9","390,8","53 986,7","3 801,1","13 421,8"
11/30/2005,"476,7","404,5","56 482,8","3 853,2","13 716,3"
12/30/2005,"510,1","430,1","60 551,7","4 119,6","14 694,5"
1/31/2006,"549,9","453,2","63 470,1","4 434,7","15 577,2"
2/28/2006,"555,0","464,8","65 454,5","4 468,0","15 653,4"
3/31/2006,"557,1","463,1","65 346,5","4 475,9","15 518,5"
4/28/2006,"610,7","496,9","71 363,8","4 893,7","16 806,0"
5/31/2006,"675,4","528,7","75 415,2","5 412,5","18 264,1"
6/30/2006,"596,2","470,6","68 316,2","4 772,5","16 088,0"
7/31/2006,"633,7","499,5","73 337,7","5 063,5","17 054,5"
8/31/2006,"632,6","493,8","73 310,4","5 043,6","16 925,5"
9/29/2006,"598,2","469,8","70 088,1","4 745,7","16 003,7"
10/31/2006,"585,8","464,1","69 466,5","4 628,7","15 734,5"
11/30/2006,"627,8","487,1","73 631,7","4 936,6","16 693,3"
12/29/2006,"629,8","476,6","73 711,4","4 927,4","16 552,2"
1/31/2007,"631,2","485,9","76 036,8","4 915,6","16 724,1"
2/28/2007,"664,8","508,0","80 086,1","5 151,9","17 484,6"
3/30/2007,"654,9","494,5","76 827,9","5 068,0","17 095,3"
4/30/2007,"679,4","502,2","80 795,4","5 247,4","17 536,6"
5/31/2007,"666,9","493,5","80 555,6","5 119,1","17 222,8"
6/29/2007,"655,5","488,3","80 396,6","5 003,3","16 983,8"
7/31/2007,"665,3","484,8","80 810,3","5 040,2","16 986,6"
8/31/2007,"665,4","488,4","77 661,7","5 040,1","17 051,5"
9/28/2007,"712,7","512,2","81 994,0","5 360,9","18 022,5"
10/31/2007,"754,6","530,4","87 446,0","5 661,2","18 775,4"
11/30/2007,"806,3","549,2","89 476,6","5 983,3","19 723,9"
12/31/2007,"803,2","551,2","90 155,8","5 924,6","19 729,9"
1/31/2008,"889,6","604,4","95 794,0","6 445,3","21 770,0"
2/29/2008,"922,3","625,0","98 751,2","6 608,3","22 587,5"
3/31/2008,"968,4","623,4","97 672,8","6 851,3","22 959,9"
4/30/2008,"909,7","577,5","93 433,2","6 366,5","21 396,7"
5/30/2008,"888,7","571,3","92 738,9","6 196,8","21 082,1"
6/30/2008,"889,5","571,5","95 072,9","6 135,4","21 024,5"
7/31/2008,"939,8","596,3","100 388,2","6 425,1","21 949,9"
8/29/2008,"839,0","560,7","91 795,6","5 749,4","20 317,1"
9/30/2008,"829,9","577,9","88 485,6","5 674,4","21 016,6"
10/31/2008,"806,6","606,6","80 896,0","5 514,7","21 339,4"
11/28/2008,"760,9","597,5","73 694,3","5 197,2","20 800,1"
12/31/2008,"816,1","607,4","74 451,0","5 592,8","22 885,2"
1/30/2009,"858,7","648,8","77 443,2","5 874,6","27 650,0"
2/27/2009,"943,2","736,8","87 700,6","6 448,9","33 769,9"
3/31/2009,"924,3","708,7","90 428,0","6 318,8","31 987,2"
4/30/2009,"890,2","674,5","87 864,9","6 081,2","29 828,5"
5/29/2009,"928,6","679,6","89 566,9","6 337,9","29 639,8"
6/30/2009,"945,7","674,6","91 393,0","6 462,6","29 379,8"
7/31/2009,"934,2","663,2","88 154,4","6 382,6","29 433,3"
